"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"InvestigationalMedicinalProduct.AttachedDocument.extension","InvestigationalMedicinalProduct.AttachedDocument.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"InvestigationalMedicinalProduct.AttachedDocument.modifierExtension","InvestigationalMedicinalProduct.AttachedDocument.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"InvestigationalMedicinalProduct.AttachedDocument.Identifier","InvestigationalMedicinalProduct.AttachedDocument.Identifier","","","",1,1,"","","","Identifier {[]} {[]}
","The reference to the regulatory decision document related to the granting of the authorisation or the latest update of the regulated product information shall be specified in text. (9.2.2.11.2)","The reference to the regulatory decision document related to the granting of the authorisation or the latest update of the regulated product information shall be specified in text. (9.2.2.11.2)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Identifier",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.EffectiveDate","InvestigationalMedicinalProduct.AttachedDocument.EffectiveDate","","","",1,1,"","","","date {[]} {[]}
","The date corresponding to a version of a regulated document containing regulated Medicinal Product information (e.g. elements related to the summary of product characteristics, product labelling). A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. NOTE Document version date corresponds to the tracking versions of a regulated document. It does not correspond to the actual revisions or regulatory timelines that may be captured within a regulated document. (9.2.2.11.3)","The date corresponding to a version of a regulated document containing regulated Medicinal Product information (e.g. elements related to the summary of product characteristics, product labelling). A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. NOTE Document version date corresponds to the tracking versions of a regulated document. It does not correspond to the actual revisions or regulatory timelines that may be captured within a regulated document. (9.2.2.11.3)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.EffectiveDate",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.Type","InvestigationalMedicinalProduct.AttachedDocument.Type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The type of document that is supporting a version increment shall be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.11.4)","The type of document that is supporting a version increment shall be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.11.4)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Type",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.Content","InvestigationalMedicinalProduct.AttachedDocument.Content","","","",1,1,"","","","base64Binary {[]} {[]}
","The actual document that is supporting a version increment shall be attached. The format of the document attachment shall be specified by regional implementations. (9.2.2.11.5)","The actual document that is supporting a version increment shall be attached. The format of the document attachment shall be specified by regional implementations. (9.2.2.11.5)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Content",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.Language","InvestigationalMedicinalProduct.AttachedDocument.Language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","This attribute defines the language used for the information related to the regulatory submission. (9.2.2.11.6)","This attribute defines the language used for the information related to the regulatory submission. (9.2.2.11.6)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Language",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.MediaType","InvestigationalMedicinalProduct.AttachedDocument.MediaType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","This attributes is used to define the graphic media type of the attached document. (9.2.2.11.7)","This attributes is used to define the graphic media type of the attached document. (9.2.2.11.7)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.MediaType",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.VersionNumber","InvestigationalMedicinalProduct.AttachedDocument.VersionNumber","","","",0,1,"","","","string {[]} {[]}
","This is a number identifying a specific version of the attached regulatory document. (9.2.2.11.8)","This is a number identifying a specific version of the attached regulatory document. (9.2.2.11.8)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.VersionNumber",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.VersionSetIdentifier","InvestigationalMedicinalProduct.AttachedDocument.VersionSetIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","This is a number used to group together a set of specific versions of the same regulatory document. (9.2.2.11.9)","This is a number used to group together a set of specific versions of the same regulatory document. (9.2.2.11.9)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.VersionSetIdentifier",0,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation","","","",1,*,"","","","BackboneElement {[]} {[]}
","11.4.2.2","11.4.2.2","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.id","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.extension","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.modifierExtension","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.RegistrationNumber","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.RegistrationNumber","","","",1,1,"","","","Identifier {[]} {[]}
","The registration number (identifier) for a clinical trial in a region shall be specified. (11.4.2.2.2)","The registration number (identifier) for a clinical trial in a region shall be specified. (11.4.2.2.2)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.RegistrationNumber",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.InvestigationCode","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.InvestigationCode","","","",1,1,"","","","string {[]} {[]}
","The code for a particular investigation (trial) as assigned in a jurisdiction for a clinical trial shall be specified in text. (11.4.2.2.3)","The code for a particular investigation (trial) as assigned in a jurisdiction for a clinical trial shall be specified in text. (11.4.2.2.3)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.InvestigationCode",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.Country","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.Country","","","",1,*,"","","","CodeableConcept {[]} {[]}
","The jurisdiction(s) in which the clinical trial authorisation was granted shall be described using ISO 3166 - 1 alpha-2 code elements. (11.4.2.2.4)","The jurisdiction(s) in which the clinical trial authorisation was granted shall be described using ISO 3166 - 1 alpha-2 code elements. (11.4.2.2.4)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.Country",1,*,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.ProtocolNumber","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.ProtocolNumber","","","",1,1,"","","","Identifier {[]} {[]}
","The number assigned to the clinical trial protocol shall be specified. (11.4.2.2.5)","The number assigned to the clinical trial protocol shall be specified. (11.4.2.2.5)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.ProtocolNumber",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AuthorisationDate","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AuthorisationDate","","","",1,1,"","","","date {[]} {[]}
","The date when the clinical trial authorisation was granted by a Medicines Regulatory Agency in a jurisdiction shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.2.6)","The date when the clinical trial authorisation was granted by a Medicines Regulatory Agency in a jurisdiction shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.2.6)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AuthorisationDate",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AnticipatedEndDate","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AnticipatedEndDate","","","",1,1,"","","","date {[]} {[]}
","The date when the clinical trial is anticipated to be completed in accordance with the authorised clinical trial protocol in a jurisdiction shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.2.7)","The date when the clinical trial is anticipated to be completed in accordance with the authorised clinical trial protocol in a jurisdiction shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.2.7)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AnticipatedEndDate",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation","","","",0,*,"","","","BackboneElement {[]} {[]}
","11.4.2.3","11.4.2.3","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.id","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.extension","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.modifierExtension","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalClinicalTrialRegistrationNumber","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalClinicalTrialRegistrationNumber","","","",1,1,"","","","Identifier {[]} {[]}
","The registration number (identifier) for a clinical trial as assigned by the Regulatory Medicines Authority locally shall be specified in text. (11.4.2.3.2)","The registration number (identifier) for a clinical trial as assigned by the Regulatory Medicines Authority locally shall be specified in text. (11.4.2.3.2)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalClinicalTrialRegistrationNumber",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalInvestigationCode","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalInvestigationCode","","","",1,1,"","","","string {[]} {[]}
","The “code” for an Investigational Medicinal Product as assigned locally for a clinical trial of a set of clinical trials shall be specified in text. (11.4.2.3.3)","The “code” for an Investigational Medicinal Product as assigned locally for a clinical trial of a set of clinical trials shall be specified in text. (11.4.2.3.3)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalInvestigationCode",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.Jurisdiction","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.Jurisdiction","","","",1,*,"","","","CodeableConcept {[]} {[]}
","The jurisdiction(s) in which the clinical trial authorisation was granted shall be described using ISO 3166 - 1 alpha-2 code elements. (11.4.2.3.4)","The jurisdiction(s) in which the clinical trial authorisation was granted shall be described using ISO 3166 - 1 alpha-2 code elements. (11.4.2.3.4)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.Jurisdiction",1,*,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalAuthorisationDate","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalAuthorisationDate","","","",1,1,"","","","date {[]} {[]}
","The date when the clinical trial authorisation was granted locally by a Regulatory Medicines Authority shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.3.5)","The date when the clinical trial authorisation was granted locally by a Regulatory Medicines Authority shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.3.5)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalAuthorisationDate",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalAnticipatedEndDate","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalAnticipatedEndDate","","","",1,1,"","","","date {[]} {[]}
","The date when the clinical trial is anticipated to be completed in accordance with the authorised clinical trial protocol shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.3.6)","The date when the clinical trial is anticipated to be completed in accordance with the authorised clinical trial protocol shall be provided. A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. (11.4.2.3.6)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation.LocalAnticipatedEndDate",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.MedicinesRegulatoryAgency-Organisation","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.MedicinesRegulatoryAgency_Organisation","","","",1,1,"","","","BackboneElement {[]} {[]}
","9.3.2.5","9.3.2.5","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.MedicinesRegulatoryAgency_Organisation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.MedicinesRegulatoryAgency-Organisation.id","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.MedicinesRegulatoryAgency_Organisation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.MedicinesRegulatoryAgency-Organisation.extension","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.MedicinesRegulatoryAgency_Organisation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
